CONVOCATORIAS_FECHAS	fk_CONVOCATORIAS_FECHAS_DCAT_TIPOS_FECHAS_CONVOCATORIAS1_idx	1	1	id_dcat_tipos_fechas_convocatorias
CONVOCATORIAS_FECHAS	PRIMARY	0	1	id_convocatorias_fechas
CONVOCATORIAS_HAS_INVITADOS_ESPECIALES	fk_CONVOCATORIAS_has_INVITADOS_ESPECIALES_CONVOCATORIAS1_idx	1	1	id_convocatorias
CONVOCATORIAS_HAS_INVITADOS_ESPECIALES	fk_CONVOCATORIAS_has_INVITADOS_ESPECIALES_INVITADOS_ESPECIA_idx	1	1	id_invitados_especiales
CONVOCATORIAS_HAS_INVITADOS_ESPECIALES	PRIMARY	0	1	id_convocatorias_has_invitados_especiales
CONVOCATORIAS_INVITADOS	PRIMARY	0	1	id_convocatorias_invitados
CUPONES_TOUR	idx_cupones_tour_activo	1	1	activo
CUPONES_TOUR	idx_cupones_tour_exclusivo	1	1	es_exclusivo_tour
CUPONES_TOUR	idx_cupones_tour_lugar	1	1	id_lugar
CUPONES_TOUR	idx_cupones_tour_vigencia	1	1	vigencia
CUPONES_TOUR	PRIMARY	0	1	id
DCAT_CALLES	PRIMARY	0	1	id_dcat_calles
DCAT_CATEGORIAS_COMERCIAL	fk_DCAT_CATEGORIAS_COMERCIAL_CAT_TIPOS_INGRESOS_EGRESOS1_idx	1	1	id_dcat_giros
DCAT_CATEGORIAS_COMERCIAL	PRIMARY	0	1	id_dcat_categorias_comercial
DCAT_CATEGORIAS_GASTOS	PRIMARY	0	1	id_dcat_categorias_gastos
DCAT_CATEGORIAS_NOTIFICACIONES	PRIMARY	0	1	id_dcat_categorias_notificaciones
DCAT_CLASES_COMERCIOS	PRIMARY	0	1	id_dcat_clases_comercios
DCAT_GIROS	PRIMARY	0	1	id_dcat_giros
DCAT_SUBCATEGORIAS_COMERCIAL	fk_DCAT_SUBCATEGORIAS_COMERCIAL_DCAT_CATEGORIAS_COMERCIAL1_idx	1	1	id_dcat_categorias_comercial
DCAT_SUBCATEGORIAS_COMERCIAL	fk_DCAT_SUBCATEGORIAS_COMERCIAL_DCAT_GIROS1_idx	1	1	id_dcat_giros
DCAT_SUBCATEGORIAS_COMERCIAL	PRIMARY	0	1	id_dcat_subcategorias_comercial
DCAT_SUBZONAS	fk_DCAT_SUBZONAS_DCAT_ZONAS1_idx	1	1	id_dcat_zonas
DCAT_SUBZONAS	PRIMARY	0	1	id_dcat_subzonas
DCAT_TIPOS_FECHAS_CONVOCATORIAS	PRIMARY	0	1	id_dcat_tipos_fechas_convocatorias
DCAT_USO_SUELO	PRIMARY	0	1	id_dcat_uso_suelo
DCAT_USO_SUELO_HISTORICO	PRIMARY	0	1	id_dcat_uso_suelo_historico
DCAT_VARIOS	PRIMARY	0	1	id_dcat_varios
DCAT_ZONAS	PRIMARY	0	1	id_dcat_zonas
DIRECTORIO	fk_DIRECTORIO_CAT_TIPOS_DIRECTORIO1_idx	1	1	id_cat_tipos_directorio
DIRECTORIO	PRIMARY	0	1	id_directorio
DIRECTORIO	rol	1	1	id_roles_condominal
DIRECTORIO_HAS_ASIGNACIONES	fk_DIRECTORIO_HAS_ASIGNACIONES_DIRECTORIO1_idx	1	1	id_directorio
DIRECTORIO_HAS_ASIGNACIONES	fk_DIRECTORIO_HAS_ASIGNACIONES_ENTIDADES1_idx	1	1	id_roles_condominal
DIRECTORIO_HAS_ASIGNACIONES	PRIMARY	0	1	id_directorio_has_asignaciones
DIRECTORIO_HAS_CAT_PUESTOS	PRIMARY	0	1	id_directorio_has_cat_puestos
DIRECTORIO_HAS_COMERCIOS	directorio	1	1	id_directorio
DIRECTORIO_HAS_COMERCIOS	PRIMARY	0	1	id_directorio_has_comercios
disponibilidad_artistas	idx_disponibilidad_artista	1	1	id_artista
disponibilidad_artistas	idx_disponibilidad_dia	1	1	dia_semana
disponibilidad_artistas	idx_disponibilidad_rango	1	1	id_artista
disponibilidad_artistas	idx_disponibilidad_rango	1	2	dia_semana
disponibilidad_artistas	idx_disponibilidad_rango	1	3	hora_inicio
disponibilidad_artistas	idx_disponibilidad_rango	1	4	hora_fin
disponibilidad_artistas	PRIMARY	0	1	id
GASTOS	cate	1	1	id_cat_conceptos_presupuesto
GASTOS	PRIMARY	0	1	id_gastos
HISTORICO_PAGOS	areaprivativa	1	1	id_areas_privativas
HISTORICO_PAGOS	directorio	1	1	id_directorio
HISTORICO_PAGOS	forma	1	1	id_cat_formas_pago
HISTORICO_PAGOS	PRIMARY	0	1	id_historico_pagos
HISTORICO_PAGOS	status	1	1	id_cat_status_historico_pagos
HISTORICO_PAGOS_DETALLE	PRIMARY	0	1	id_historico_pagos_detalle
HISTORICO_PAGOS_HAS_PAGOS	historico	1	1	id_historico_pagos
HISTORICO_PAGOS_HAS_PAGOS	pagos	1	1	id_pagos
HISTORICO_PAGOS_HAS_PAGOS	PRIMARY	0	1	id_historico_Pagos_has_pagos
INGRESOS	forma	1	1	id_cat_formas_pago
INGRESOS	idx_ingresos_area_privativa	1	1	id_areas_privativas
INGRESOS	idx_ingresos_confirmado	1	1	confirmado
INGRESOS	idx_ingresos_tipo_cuota	1	1	id_cat_grupos_cobro
