DCAT_SUBZONAS	PRIMARY	id_dcat_subzonas	NULL	NULL
DCAT_TIPOS_FECHAS_CONVOCATORIAS	PRIMARY	id_dcat_tipos_fechas_convocatorias	NULL	NULL
DCAT_USO_SUELO	PRIMARY	id_dcat_uso_suelo	NULL	NULL
DCAT_USO_SUELO_HISTORICO	PRIMARY	id_dcat_uso_suelo_historico	NULL	NULL
DCAT_VARIOS	PRIMARY	id_dcat_varios	NULL	NULL
DCAT_ZONAS	PRIMARY	id_dcat_zonas	NULL	NULL
DIRECTORIO	DIRECTORIO_ibfk_1	id_roles_condominal	ROLES_CONDOMINAL	id_roles_condominal
DIRECTORIO	PRIMARY	id_directorio	NULL	NULL
DIRECTORIO_HAS_ASIGNACIONES	PRIMARY	id_directorio_has_asignaciones	NULL	NULL
DIRECTORIO_HAS_CAT_PUESTOS	PRIMARY	id_directorio_has_cat_puestos	NULL	NULL
DIRECTORIO_HAS_COMERCIOS	directorio	id_directorio	DIRECTORIO	id_directorio
DIRECTORIO_HAS_COMERCIOS	PRIMARY	id_directorio_has_comercios	NULL	NULL
disponibilidad_artistas	fk_disponibilidad_artista	id_artista	artistas	id
disponibilidad_artistas	PRIMARY	id	NULL	NULL
GASTOS	PRIMARY	id_gastos	NULL	NULL
HISTORICO_PAGOS	HISTORICO_PAGOS_ibfk_1	id_areas_privativas	AREAS_PRIVATIVAS	id_areas_privativas
HISTORICO_PAGOS	HISTORICO_PAGOS_ibfk_2	id_cat_formas_pago	CAT_FORMAS_PAGO	id_cat_formas_pago
HISTORICO_PAGOS	HISTORICO_PAGOS_ibfk_3	id_directorio	DIRECTORIO	id_directorio
HISTORICO_PAGOS	PRIMARY	id_historico_pagos	NULL	NULL
HISTORICO_PAGOS_DETALLE	PRIMARY	id_historico_pagos_detalle	NULL	NULL
HISTORICO_PAGOS_HAS_PAGOS	HISTORICO_PAGOS_HAS_PAGOS_ibfk_1	id_historico_pagos	HISTORICO_PAGOS	id_historico_pagos
HISTORICO_PAGOS_HAS_PAGOS	HISTORICO_PAGOS_HAS_PAGOS_ibfk_2	id_pagos	PAGOS	id_pagos
HISTORICO_PAGOS_HAS_PAGOS	PRIMARY	id_historico_Pagos_has_pagos	NULL	NULL
INGRESOS	fk_ingresos_areas_privativas	id_areas_privativas	AREAS_PRIVATIVAS	id_areas_privativas
INGRESOS	fk_ingresos_cat_grupos_cobro	id_cat_grupos_cobro	CAT_GRUPOS_COBRO	id_cat_grupos_cobro
INGRESOS	INGRESOS_ibfk_1	id_cat_formas_pago	CAT_FORMAS_PAGO	id_cat_formas_pago
INGRESOS	PRIMARY	id_ingresos	NULL	NULL
INVITADOS_ESPECIALES	PRIMARY	id_invitados_especiales	NULL	NULL
NOTIFICACIONES	fk_NOTIFICACIONES_CAT_TIPOS_NOTIFICACIONES	id_cat_tipos_notificaciones	CAT_TIPOS_NOTIFICACIONES	id_cat_tipos_notificaciones
NOTIFICACIONES	fk_NOTIFICACIONES_DCAT_CATEGORIAS_NOTIFICACIONES1	id_dcat_categorias_notificaciones	DCAT_CATEGORIAS_NOTIFICACIONES	id_dcat_categorias_notificaciones
NOTIFICACIONES	fk_NOTIFICACIONES_DIRECTORIO1	id_directorio	DIRECTORIO	id_directorio
NOTIFICACIONES	PRIMARY	id_notificaciones	NULL	NULL
PAGOS	PAGOS_ibfk_1	id_areas_privativas	AREAS_PRIVATIVAS	id_areas_privativas
PAGOS	PRIMARY	id_pagos	NULL	NULL
PASSWORD_RESET_TOKENS	PASSWORD_RESET_TOKENS_ibfk_1	id_directorio	DIRECTORIO	id_directorio
PASSWORD_RESET_TOKENS	PRIMARY	id	NULL	NULL
presentaciones_artistas	fk_presentaciones_artista	id_artista	artistas	id
presentaciones_artistas	PRIMARY	id	NULL	NULL
presentaciones_artistas	uk_presentacion_exacta	id_artista	NULL	NULL
presentaciones_artistas	uk_presentacion_exacta	id_escenario	NULL	NULL
presentaciones_artistas	uk_presentacion_exacta	fecha_hora_inicio	NULL	NULL
presentaciones_artistas	uk_presentacion_exacta	fecha_hora_fin	NULL	NULL
PRESUPUESTO	PRIMARY	id_presupuesto	NULL	NULL
PRESUPUESTO_DETALLE	PRESUPUESTO_DETALLE_ibfk_1	id_cat_conceptos_presupuesto	CAT_CONCEPTOS_PRESUPUESTO	id_cat_conceptos_presupuesto
PRESUPUESTO_DETALLE	PRESUPUESTO_DETALLE_ibfk_2	id_cat_grupos_presupuesto	CAT_GRUPOS_PRESUPUESTO	id_cat_grupos_presupuesto
PRESUPUESTO_DETALLE	PRIMARY	id_presupuesto_detalle	NULL	NULL
PRESUPUESTO_MES	PRIMARY	id_presupuesto_mes	NULL	NULL
PRESUPUESTO_MES_CERRADO	PRIMARY	id_presupuesto_mes_cerrado	NULL	NULL
PROYECTOS	PRIMARY	id_proyectos	NULL	NULL
PROYECTOS_DOCUMENTOS	PRIMARY	id_proyectos_documentos	NULL	NULL
PROYECTOS_FOLIO	PRIMARY	id_proyectos_folio	NULL	NULL
