REGISTROS_VISITANTES	0	InnoDB	2026-02-17 15:39:42	NULL
RESUMEN_FINANCIERO	1	InnoDB	2025-06-10 22:45:28	NULL
RESUMEN_FINANCIERO_MES	0	InnoDB	2025-04-28 22:15:28	NULL
ROLES_CONDOMINAL	16	InnoDB	2025-06-01 22:11:08	NULL
ROLES_CONDOMINAL_HAS_CAT_MODULOS	160	InnoDB	2025-02-18 11:50:21	NULL
TAREAS	0	InnoDB	2025-05-30 09:56:42	NULL
TAREAS_ASIGNACIONES	0	InnoDB	2025-07-21 21:13:01	NULL
TEMAS	0	InnoDB	2025-06-23 10:30:36	NULL
TICKETS	6	InnoDB	2026-02-11 00:30:13	NULL
TICKETS_DEPARTAMENTOS	5	InnoDB	2025-07-28 23:36:33	NULL
TOURS	0	InnoDB	2026-02-17 15:39:42	NULL
VOTACIONES_CONVOCATORIAS	0	InnoDB	2025-06-04 17:03:33	NULL
